int1,int2,inf1,inf2,inf3,ve1,ve2,ve3,nvse1,nvse2,trust1,trust2,trust3,conv1,conv2,conv3,conv4,enj1,enj2,enj3,sc1,sc2,al1,al2,al3,target,gender_0,gender_1,occupation_0,occupation_1,occupation_2,freq_0,freq_1,freq_2,freq_3,age_0,age_1,age_2
5,4,4,4,2,1,2,3,2,1,3,2,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,5,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,4,4,4,2,1,2,3,2,1,3,2,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,4,4,4,2,1,2,4,2,1,3,2,4,4,4,4,4,2,4,4,3,3,2,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0
1,5,4,2,3,2,3,3,1,1,3,2,3,4,4,5,3,3,4,4,4,4,3,3,5,0,1,0,0,0,1,0,1,0,0,1,0,0
5,5,2,4,3,2,2,3,1,2,3,3,3,4,3,4,1,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,5,5,4,2,2,4,1,3,4,3,3,5,5,4,4,4,5,5,3,3,3,3,2,1,1,0,0,1,0,1,0,0,0,1,0,0
4,4,1,2,2,2,4,2,3,4,2,3,4,2,4,4,3,4,4,4,5,5,2,2,3,1,0,1,0,0,1,1,0,0,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,1,0,0,0,1,0,0
5,5,3,4,3,3,3,4,2,1,3,3,4,5,4,4,4,4,4,4,4,4,2,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0
5,1,3,4,3,2,2,3,3,4,3,2,3,5,4,4,4,4,4,4,4,4,4,3,4,0,0,1,1,0,0,0,1,0,0,1,0,0
5,5,3,4,3,2,2,3,2,1,2,3,4,5,4,4,4,4,4,4,4,4,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,3,4,3,2,2,3,2,1,3,3,2,5,4,2,4,4,4,4,4,4,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,3,4,3,2,2,3,2,1,3,3,4,5,4,4,4,4,4,4,4,4,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,4,4,4,3,2,3,3,3,1,3,2,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,5,5,4,1,1,3,1,3,4,3,3,5,5,4,4,4,5,5,3,3,3,3,2,1,1,0,1,0,0,0,0,1,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,3,4,3,2,2,3,2,1,3,3,4,5,4,4,4,4,4,4,4,4,2,2,2,0,1,0,0,0,1,0,0,1,0,1,0,0
5,4,4,4,3,2,2,4,2,1,3,2,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,3,4,3,4,4,5,2,2,3,3,5,5,5,3,4,3,5,5,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
5,5,3,4,3,3,3,4,2,2,3,3,5,5,5,3,4,3,5,5,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
1,3,4,3,4,3,2,3,2,3,2,4,4,5,5,3,5,4,2,3,4,4,1,3,1,0,0,1,0,0,1,0,0,0,1,1,0,0
5,3,1,1,2,2,2,3,2,3,3,4,4,5,5,4,5,4,2,3,4,4,1,2,1,0,0,1,0,0,1,0,0,0,1,1,0,0
5,3,3,4,4,1,2,3,2,3,3,4,4,3,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,1,3,3,2,2,2,3,2,1,3,3,4,5,4,4,4,4,4,4,4,4,2,2,2,1,0,1,0,0,1,0,0,0,1,1,0,0
3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,1,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,0,0,0,1,0,0,0,1,0,1,0
3,3,2,3,3,3,2,3,3,3,3,4,3,3,3,3,2,4,4,3,3,3,4,3,3,0,1,0,0,0,1,0,0,0,1,0,1,0
5,5,3,4,3,1,1,2,1,1,3,4,4,5,5,3,5,5,5,5,3,3,2,3,2,0,1,0,1,0,0,0,0,0,1,1,0,0
5,5,3,4,3,1,1,2,1,1,3,4,4,5,5,3,5,5,5,5,3,3,2,3,2,0,1,0,1,0,0,0,0,0,1,1,0,0
3,3,3,4,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,3,4,3,3,3,4,2,2,3,3,5,5,5,3,4,3,5,5,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
3,3,3,4,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
3,3,3,4,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,3,4,3,3,3,4,2,2,3,3,5,5,5,3,4,3,5,4,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
5,5,5,5,4,2,2,3,1,2,4,3,3,5,5,4,4,4,5,5,3,3,3,3,2,1,1,0,1,0,0,1,0,0,0,1,0,0
5,5,5,5,4,2,2,3,1,2,4,3,3,5,5,4,4,4,5,5,3,3,3,3,2,1,1,0,1,0,0,1,0,0,0,1,0,0
5,5,3,4,3,3,3,4,2,2,3,3,5,5,5,3,4,3,5,5,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
5,5,4,4,3,2,2,3,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0
5,5,5,5,4,2,2,3,1,2,4,3,3,5,5,4,4,4,5,5,3,3,3,3,2,1,1,0,1,0,0,1,0,0,0,1,0,0
3,3,3,4,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
3,3,3,4,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,5,3,4,3,3,3,4,2,2,3,3,5,5,5,3,4,3,5,4,3,3,2,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0
3,3,3,4,3,2,2,2,3,3,3,3,5,4,1,3,4,3,4,4,3,3,2,5,2,1,1,0,0,0,1,0,1,0,0,1,0,0
1,1,5,4,4,2,4,2,2,3,3,4,4,4,4,4,5,4,4,3,4,4,1,2,5,0,0,1,0,0,1,0,0,0,1,1,0,0
2,2,5,5,4,2,2,5,1,2,4,3,3,5,5,4,4,4,5,3,3,3,3,3,3,1,1,0,1,0,0,1,0,0,0,1,0,0
5,5,3,3,3,4,3,3,1,1,2,1,1,3,5,5,3,5,5,5,5,5,1,1,3,1,1,0,0,0,1,0,1,0,0,1,0,0
4,4,4,4,4,2,2,3,2,2,4,2,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,0,0,0,1,0,1,0,0,1,0,0
5,4,4,4,4,2,2,3,2,1,3,2,4,4,4,4,1,4,1,4,3,3,2,2,2,0,1,0,0,0,1,0,1,0,0,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,0,1,0,0,0,0,1,1,0,0
4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
1,3,4,4,4,1,2,3,2,3,3,4,4,5,5,2,5,5,4,3,4,4,1,2,3,0,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,1,5,5,2,2,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
1,3,3,3,3,2,2,4,3,4,3,2,1,2,1,1,2,2,3,3,3,3,3,5,5,0,0,1,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,4,2,4,3,2,2,2,4,2,2,2,3,2,3,3,3,3,3,4,3,0,0,1,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,2,2,4,3,2,3,2,4,2,2,2,3,2,3,3,2,2,3,4,3,0,0,1,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
4,4,4,4,4,2,2,2,4,3,4,2,4,1,4,4,4,4,4,1,4,4,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,4,3,3,3,3,3,3,3,1,3,4,4,4,3,3,3,2,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
1,3,4,4,4,2,2,2,2,3,3,4,4,4,4,4,5,4,4,3,4,4,1,2,1,0,0,1,0,0,1,0,0,0,1,1,0,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,5,3,3,3,1,3,3,1,1,5,5,3,3,5,5,5,5,5,5,4,4,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
5,5,3,3,3,1,3,3,1,1,5,5,3,3,5,5,5,5,5,5,4,4,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
5,3,4,4,4,1,2,3,2,3,3,4,4,5,5,4,5,5,4,3,4,4,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0
5,5,3,3,3,1,3,3,1,1,5,5,3,3,5,5,5,5,5,5,4,4,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
